Company Name,Domain,ARR,Industry,Account Tier,Employee Count,Notes
Acme Corporation,acme.com,250000,Technology,Enterprise,500,Long-term customer
TechStart Inc,techstart.io,45000,Technology,Growth,25,High growth potential
Global Logistics Ltd,globallogistics.com,1200000,Logistics,Enterprise,2500,Multi-year contract
HealthFirst Solutions,healthfirst.co,85000,Healthcare,Mid-Market,150,HIPAA compliant
EduLearn Platform,edulearn.edu,32000,Education,Growth,40,K-12 focus
FinanceWise Partners,financewise.com,500000,Financial Services,Enterprise,800,SOC2 certified
GreenEnergy Systems,greenenergy.io,175000,Energy,Mid-Market,200,Sustainability focus
RetailMax Group,retailmax.com,380000,Retail,Enterprise,1200,Multi-region deployment
CloudNine Software,cloudnine.dev,95000,Technology,Mid-Market,75,API-first platform
DataDriven Analytics,datadriven.ai,620000,Technology,Enterprise,350,ML capabilities
Nexus Innovations,nexusinnovations.com,890000,Technology,Enterprise,620,AI-powered solutions
Bright Horizon Media,brighthorizon.media,125000,Media,Mid-Market,95,Digital advertising
Summit Healthcare Group,summithealthcare.org,450000,Healthcare,Enterprise,540,Hospital network
Quantum Computing Labs,quantumlabs.io,78000,Technology,Growth,30,R&D focused
Pacific Trading Co,pacifictrading.co,2100000,Trading,Enterprise,1800,Global operations
Urban Mobility Solutions,urbanmobility.app,56000,Transportation,Growth,45,Smart city focus
SecureNet Cyber,securenetcyber.com,340000,Cybersecurity,Enterprise,280,Fortune 500 clients
FreshFarm Organics,freshfarm.co,42000,Agriculture,Growth,60,Farm-to-table
Stellar Aerospace,stellaraerospace.com,5600000,Aerospace,Enterprise,4200,Defense contracts
ModernBank Financial,modernbank.io,780000,Financial Services,Enterprise,520,Digital-first bank
Catalyst Consulting,catalystconsulting.com,195000,Consulting,Mid-Market,110,Strategy focused
OceanView Hospitality,oceanviewhotels.com,890000,Hospitality,Enterprise,2100,Resort chain
Precision Manufacturing,precisionmfg.com,1450000,Manufacturing,Enterprise,1650,ISO certified
EcoWaste Solutions,ecowaste.io,67000,Environmental,Growth,55,Recycling tech
SwiftShip Logistics,swiftship.co,320000,Logistics,Mid-Market,240,Last-mile delivery
BlueSky Airlines,blueskyair.com,8900000,Aviation,Enterprise,6500,Regional carrier
TechBridge Solutions,techbridge.dev,88000,Technology,Mid-Market,65,System integrator
HealthTrack Wellness,healthtrack.app,52000,Healthcare,Growth,35,Fitness platform
Apex Legal Services,apexlegal.com,410000,Legal,Enterprise,320,Corporate law
Granite Construction,graniteconstruction.co,2800000,Construction,Enterprise,3200,Commercial projects
NovaPharma Inc,novapharma.com,4200000,Pharmaceutical,Enterprise,2800,Drug development
Sunrise Senior Care,sunrisesenior.org,560000,Healthcare,Enterprise,890,Elder care
Velocity Sports Tech,velocitysports.io,73000,Sports,Growth,40,Analytics platform
Crimson Education,crimsonedu.com,185000,Education,Mid-Market,145,Higher ed focus
Ironclad Security,ironcladsc.com,290000,Security,Mid-Market,180,Physical security
Evergreen Realty,evergreenrealty.com,145000,Real Estate,Mid-Market,125,Commercial properties
NorthStar Navigation,northstarnav.com,680000,Technology,Enterprise,410,GPS solutions
Harvest Foods Inc,harvestfoods.co,920000,Food & Beverage,Enterprise,780,Distribution network
PixelPerfect Design,pixelperfect.studio,38000,Design,Growth,22,Creative agency
Thunder Cloud Gaming,thundercloud.gg,125000,Gaming,Mid-Market,85,Esports platform
Meridian Insurance,meridianins.com,1650000,Insurance,Enterprise,1400,Multi-line carrier
CoreFit Gyms,corefitgyms.com,210000,Fitness,Mid-Market,340,Franchise model
Sapphire Hotels,sapphirehotels.com,1100000,Hospitality,Enterprise,1850,Boutique hotels
TerraNova Mining,terranovamining.com,7800000,Mining,Enterprise,5200,Resource extraction
Wavelength Telecom,wavelengthtelecom.net,2300000,Telecommunications,Enterprise,1950,Fiber network
Zenith Aerospace,zenithaero.com,3400000,Aerospace,Enterprise,2600,Satellite systems
Redwood Biotech,redwoodbio.com,560000,Biotechnology,Enterprise,380,Gene therapy
Polar Express Shipping,polarexpress.co,480000,Logistics,Enterprise,620,Cold chain
Ember Energy,emberenergy.com,290000,Energy,Mid-Market,175,Renewable focus
Cascade Software,cascadesoftware.io,115000,Technology,Mid-Market,90,Enterprise SaaS
Summit Ventures,summitvc.com,52000,Financial Services,Growth,28,Early stage VC
Prism Analytics,prismanalytics.ai,165000,Technology,Mid-Market,120,BI platform
Aurora Automotive,auroraautomotive.com,1850000,Automotive,Enterprise,1450,EV components
Beacon Health Systems,beaconhealth.org,720000,Healthcare,Enterprise,680,Hospital group
ClearView Optics,clearviewoptics.com,95000,Manufacturing,Mid-Market,85,Precision lenses
Dynamo Robotics,dynamorobotics.io,230000,Technology,Mid-Market,145,Industrial automation
Falcon Aerospace,falconaero.com,4100000,Aerospace,Enterprise,2900,Aircraft parts
Gemstone Jewelry,gemstonejewelry.com,68000,Retail,Growth,75,E-commerce
Horizon Ventures,horizonvc.co,44000,Financial Services,Growth,18,Seed funding
Ivory Tower Publishing,ivorytowerpub.com,125000,Publishing,Mid-Market,95,Academic press
